courbe
Xp ; Yp
0.0;-700.0
14.664137069267754;-699.834288141637
29.017584257522223;-699.6804247630447
43.06388748948523;-699.5380662345453
56.806592689878656;-699.4068689264615
70.24924578342431;-699.2864892091155
83.39539269484406;-699.17658345283
96.24857934885975;-699.076808027927
108.81235167019321;-698.9868193047296
121.09025558356626;-698.9062736535594
133.08583701370085;-698.8348274447397
144.80264188531874;-698.7721370485924
156.24421612314177;-698.7178588354402
167.41410565189182;-698.6716491756052
178.3158563962907;-698.6331644394102
188.9530142810603;-698.6020609971775
199.3291252309225;-698.5779952192297
209.44773517059903;-698.5606234758889
219.31239002481175;-698.5496021374778
228.92663571828263;-698.5445875743186
238.29401817573344;-698.5452361567341
247.41808332188597;-698.5512042550462
256.302377081462;-698.5621482395778
264.9504453791837;-698.5777244806515
273.3658341397727;-698.5975893485895
281.5520892879507;-698.6213992137139
289.5127567484398;-698.6488104463474
297.2513824459617;-698.6794794168127
304.7715123052384;-698.7130624954318
312.0766922509915;-698.7492160525275
319.170468207943;-698.7875964584218
326.05638610081485;-698.8278600834378
332.7379918543287;-698.8696632978975
339.21883139320636;-698.9126624721232
345.50245064216995;-698.9565139764378
351.592395525941;-699.0008741811635
357.4922119692417;-699.0453994566227
363.20544589679344;-699.0897461731374
368.7356432333185;-699.1335707010312
374.0863499035386;-699.1765294106257
379.2611118321753;-699.2182786722431
384.2634749439508;-699.2584748562064
389.09698516358685;-699.2967743328378
393.76518841580537;-699.3328334724602
398.27163062532793;-699.3663086453953
402.61985771687654;-699.3968562219657
406.8134156151732;-699.4241325724943
410.8558502449396;-699.4477940673034
414.75070753089744;-699.467497076715
418.50153339776887;-699.4828979710518
422.11187377027557;-699.4936531206365
425.58527457313943;-699.4994188957912
428.92528173108224;-699.4998516668386
432.13544116882576;-699.4946078041008
435.2192988110921;-699.4833436779006
438.1804005826029;-699.4657156585602
441.0222924080801;-699.441380116402
443.74852021224547;-699.4099934217487
446.3626299198209;-699.3712119449226
448.86816745552824;-699.324692056246
451.26867874408936;-699.2700901260416
453.5677097102259;-699.2070625246316
455.76880627866007;-699.1352656223387
457.8755143741134;-699.054355789485
459.89137992130793;-698.9639893963933
461.81994884496544;-698.8638228133858
463.6647670698077;-698.753512410785
465.4293805205566;-698.6327145589133
467.1173351219341;-698.5010856280933
468.73217679866195;-698.3582819886471
470.27745147546193;-698.2039600108976
471.7567050770559;-698.0377760651669
473.1734835281659;-697.8593865217775
474.53133275351365;-697.668447751052
475.8337986778208;-697.4646161233126
477.0844272258095;-697.247548008882
478.28676432220146;-697.0168997780823
479.4443558917185;-696.7723278012363
480.56074785908254;-696.5134884486663
481.6394861490154;-696.2400380906945
482.6841166862389;-695.9516330976437
483.69818539547487;-695.6479298398363
484.6852382014452;-695.3285846875945
485.6488210288717;-694.9932540112409
486.5924798024763;-694.6415941810978
487.5197604469806;-694.2732615674879
488.4342088871068;-693.8879125407334
489.3393710475765;-693.4852034711569
490.2387928531117;-693.0647907290809
491.1360202284341;-692.6263306848275
492.03459909826563;-692.1694797087193
492.93807538732807;-691.693894171079
493.84999502034333;-691.1992304422288
494.7739039220333;-690.685144892491
495.71334801711964;-690.1512938921883
496.67187323032437;-689.597333811643
497.65302548636924;-689.0229210211777
498.6603507099762;-688.4277118911147
499.697394825867;-687.8113627917763
500.7677037587635;-687.1735300934853
501.8748234333876;-686.5138701665638
503.00478885514826;-686.5608576768011
504.0955998573319;-687.2192825800765
505.1456360476839;-687.8562230562541
506.15863862655766;-688.4720136693593
507.13834879430533;-689.0669889834165
508.08850775127974;-689.641483562451
509.0128566978339;-690.1958319704878
509.91513683432015;-690.7303687715516
510.7990893610915;-691.2454285296676
511.66845547850033;-691.7413458088605
512.5269763868997;-692.2184551731555
513.3783932866421;-692.6770911865773
514.2264473780804;-693.1175884131511
515.0748798615671;-693.5402814169017
515.9274319374551;-693.9455047618542
516.7878448060969;-694.3335930120332
517.6598596678452;-694.7048807314641
518.5472177230533;-695.0597024841716
519.4536601720732;-695.3983928341808
520.382928215258;-695.7212863455162
521.3387630529601;-696.0287175822033
522.3249058855326;-696.321021108267
523.3450979133278;-696.5985314877317
524.4030803366988;-696.8615832846231
525.502594355998;-697.1105110629655
526.6473811715784;-697.3456493867844
527.8411819837925;-697.5673328201044
529.0877379929929;-697.7758959269505
530.3907903995326;-697.9716732713479
531.7540804037644;-698.1549994173214
533.1813492060405;-698.3262089288953
534.6763380067139;-698.4856363700954
536.2427880061375;-698.6336163049468
537.8844404046639;-698.7704832974739
539.6050364026455;-698.8965719117017
541.4083172004352;-699.0122167116551
543.298023998386;-699.1177522613594
545.2778979968504;-699.2135131248396
547.3516803961808;-699.2998338661198
549.5231123967304;-699.3770490492259
551.7959351988519;-699.4454932381827
554.1738900028973;-699.5055009970147
556.6607180092201;-699.557406889747
559.260160418173;-699.6015454804049
561.9759584301082;-699.6382513330132
564.8118532453786;-699.6678590115964
567.771586064337;-699.69070308018
570.8588980873362;-699.7071181027889
574.077530514729;-699.7174386434478
577.4312245468675;-699.7219992661817
580.9237213841051;-699.7211345350156
584.558762226794;-699.7151790139745
588.3400882752871;-699.7044672670834
592.2714407299375;-699.6893338583671
596.3565607910973;-699.6701133518507
600.5991896591195;-699.6471403115589
605.0030685343568;-699.620749301517
609.5719386171619;-699.5912748857497
614.3095411078875;-699.5590516282821
619.2196172068864;-699.5244140931388
624.3059081145111;-699.4876968443454
629.5721550311146;-699.4492344459261
635.0220991570491;-699.4093614619064
640.6594816926681;-699.3684124563113
646.4880438383236;-699.3267219931653
652.5115267943686;-699.2846246364936
658.733671761156;-699.2424549503211
665.1582199390382;-699.2005474986728
671.7889125283679;-699.1592368455736
678.629490729498;-699.1188575550485
685.6836957427811;-699.0797441911225
692.95526876857;-699.0422313178203
700.4479510072174;-699.0066534991673
708.165483659076;-698.9733452991882
716.1116079244985;-698.9426412819076
724.2900650038373;-698.914876011351
732.7045960974458;-698.8903840515432
741.358942405676;-698.8694999665089
750.2568451288812;-698.8525583202734
759.4020454674135;-698.8398936768614
768.7982846216262;-698.8318406002979
778.4493037918717;-698.828733654608
788.3588441785027;-698.8309074038166
798.530646981872;-698.8386964119484
808.9684534023324;-698.8524352430286
819.6760046402364;-698.8724584610823
830.657041895937;-698.899100630134
841.9153063697864;-698.9326963142089
853.4545392621377;-698.973580077332
865.2784817733439;-699.0220864835283
877.3908751037569;-699.0785500968226
889.7954604537301;-699.1433054812398
902.4959790236161;-699.216687200805
915.4961720137674;-699.2990298195432
928.7997806245367;-699.3906679014791
942.4105460562769;-699.4919360106379
956.3322095093406;-699.6031687110444
970.5685121840805;-699.7247005667236
985.1231952808494;-699.8568661417005
1000.0;-700.0
