courbe
Xp ; Yp
0.0;-70.0
5.016855189800125;-68.24704725969026
10.033547760701;-66.51100679342198
15.050077609953371;-64.79188928818674
20.066444634807997;-63.089705430976
25.082648732515622;-61.40446590878125
30.098689800326998;-59.73618140859401
35.11456773549287;-58.08486261740574
40.130282435264;-56.45052022220799
45.145833796891125;-54.83316490999224
50.161221717625004;-53.23280736774999
55.176446094716376;-51.649458282472736
60.19150682541599;-50.083128341152
65.20640380697465;-48.533828230779264
70.22113693664299;-47.00156863834599
75.23570611167187;-45.48636025084375
80.250111229312;-43.988213755264006
85.26435218681414;-42.507139838598256
90.27842888142898;-41.043149187838004
95.29234121040737;-39.59625248997475
100.306089071;-38.16646043200001
105.31967236045762;-36.75378370090526
110.33309097603099;-35.35823298368201
115.34634481497089;-33.97981896732175
120.359433774528;-32.618552338815995
125.3723577519531;-31.274443785156254
130.385116644497;-29.947503993333992
135.39771034941037;-28.63774365034075
140.410138763944;-27.345173443167997
145.42240178534863;-26.069804058807247
150.43449931087497;-24.811646184249998
155.44643123777385;-23.570710506487753
160.45819746329596;-22.347007712512
165.4697978846921;-21.140548489314245
170.481232399213;-19.951343523886003
175.49250090410933;-18.77940350321875
180.503603296632;-17.624739114304006
185.5145394740316;-16.48736104413325
190.525309333559;-15.367279979698
195.53591277246483;-14.264506607989754
200.54634968800008;-13.179051616000004
205.5566199774151;-12.110925690720256
210.566723537961;-11.060139519142005
215.57666026688838;-10.026703788256752
220.58643006144797;-9.010629185056002
225.59603281889065;-8.011926396531251
230.605468436467;-7.030606109674006
235.61473681142786;-6.066679011475754
240.62383784102397;-5.1201557889280025
245.63277142250612;-4.191047129022249
250.64153745312498;-3.2793637187500035
255.65013583013135;-2.3851162451027514
260.658566450776;-1.5083153950719999
265.66682921230966;-0.6489718556492503
270.67492401198297;0.192903686173997
275.6828507470469;1.017300543406251
280.690609314752;1.8242080290559988
285.6981996123492;2.6136154561317473
290.705621537089;3.3855121376420043
295.7128749862224;4.139887386595248
300.71995985699994;4.876730515999998
305.7268760466726;5.596030838864741
310.7336234524909;6.297777668198
315.74020197170586;6.981960317008245
320.74661150156794;7.648568098303999
325.7528519393282;8.297590325093756
330.7589231822369;8.929016310386004
335.76482512754535;9.542835367189246
340.7705576725039;10.139036808512
345.7761207143636;10.717609947362748
350.78151415037496;11.27854409675
355.7867378777888;11.821828569682246
360.791791793856;12.347452679167997
365.79667579582707;12.855405738215744
370.80138978095295;13.345677059834003
375.80593364648433;13.818255957031248
380.810307289672;14.273131742815998
385.8145106077665;14.710293730196746
390.818543498019;15.129731232181996
395.8224058576799;15.531433561780243
400.826097584;15.915390032000005
405.8296185742301;16.281589955849746
410.83296872562096;16.630022646338
415.8361479354233;16.960677416473242
420.83915610088803;17.273543579264
425.8419931192655;17.56861044771874
430.844658887807;17.845867334845998
435.84715330376275;18.105303553654245
440.849476264384;18.346908417152
445.851627666921;18.570671238347742
450.85360740862507;18.77658133025
455.85541538674636;18.964628005867247
460.857051498536;19.134800578208
465.8585156412446;19.287088360280745
470.85980771212303;19.421480665094002
475.8609276084219;19.53796680565625
480.86187522739203;19.636536094976
485.86265046628404;19.71717784606174
490.863253222349;19.779881371921995
495.86368339283734;19.824635985565244
500.863940875;19.851430999999998
505.86402556608755;19.860255728234744
510.86393736335094;19.851099483278
515.8636761640408;19.823951578138246
520.863241865408;19.778801325824006
525.8626343647031;19.715638039343744
530.861853559177;19.634451031706
535.8608993460804;19.53522961591925
540.859771622664;19.41796310499199
545.8584702861787;19.282640811932744
550.8569952338751;19.12925204975
555.855346363004;18.957786131452245
560.853523570816;18.768232370047997
565.851526754562;18.560580078545748
570.849355811493;18.334818569954002
575.8470106388593;18.090937157281253
580.844491133912;17.828925153536005
585.8417971939016;17.54877187172675
590.838928716079;17.250466624861996
595.8358855976949;16.933998725950254
600.832667736;16.599357488000003
605.8292750282451;16.246532224019752
610.8257073716809;15.875512247017996
615.8219646635583;15.486286870003251
620.818046801128;15.078845405984001
625.8139536816406;14.65317716796875
630.8096852023469;14.209271468965994
635.805241260498;13.747117621984245
640.8006217533441;13.266704940031996
645.7958265781361;12.768022736117747
650.7908556321249;12.251060323249998
655.7857088125613;11.715807014437246
660.780386016696;11.162252122687995
665.7748871417797;10.590384961010745
670.7692120850629;10.000194842413993
675.763360743797;9.391671079906246
680.757333015232;8.764802986495994
685.7511287966192;8.11957987519174
690.744747985209;7.455991059002002
695.7381904782524;6.774025850935256
700.731456173;6.0736735640000035
705.7245449667025;5.354923511204753
710.7174567566109;4.6177650055580095
715.7101914399758;3.862187360068255
720.7027489140479;3.088179887744001
725.6951290760782;2.2957319015937543
730.6873318233169;1.4848327146259983
735.6793570530153;0.6554716398492495
740.6712046624239;-0.19236200972799722
745.6628745487935;-1.058678921097247
750.654366609375;-1.9434897812500012
755.6456807414188;-2.8468052771777472
760.636816842176;-3.7686360958720044
765.6277748088971;-4.7089929243242565
770.618554538833;-5.667886449526009
775.6091559292345;-6.645327358468759
780.599578877352;-7.641326338144001
785.5898232804366;-8.655894075543255
790.579889035739;-9.689041257658005
795.5697760405099;-10.740778571479758
800.5594841920001;-11.811116704000014
805.5490133874603;-12.900066342210266
810.538363524141;-14.007638173102006
815.5275344992932;-15.133842883666738
820.5165262101679;-16.27869116089599
825.5053385540157;-17.44219369178124
830.493971428087;-18.624361163313996
835.4824247296327;-19.825204262485737
840.4706983559038;-21.044733676287994
845.458792204151;-22.282960091712244
850.4467061716249;-23.539894195749998
855.4344401555762;-24.815546675392742
860.4219940532558;-26.109928217631996
865.4093677619145;-27.423049509459247
870.3965611788029;-28.754921237865993
875.3835742011719;-30.10555408984375
880.370406726272;-31.474958752383994
885.3570586513541;-32.86314591247825
890.343529873669;-34.27012625711801
895.3298202904674;-35.69591047329476
900.3159297990001;-37.140509248000015
905.3018582965176;-38.60393326822526
910.2876056802711;-40.08619322096201
915.2731718475109;-41.58729979320176
920.258556695488;-43.10726367193601
925.2437601214532;-44.64609554415627
930.228782022657;-46.20380609685401
935.2136222963504;-47.78040601702077
940.1982808397838;-49.37590599164798
945.1827575502085;-50.99031670772723
950.1670523248749;-52.623648852249985
955.1511650610338;-54.27591311220774
960.1350956559359;-55.94712017459199
965.1188440068321;-57.63728072639424
970.102410010973;-59.34640545460599
975.0857935656093;-61.074505046218746
980.0689945679919;-62.82159018822399
985.0520129153715;-64.58767156761324
990.034848504999;-66.372759871378
995.0175012341249;-68.17686578650975
999.999971;-70.0
